id,phone_name,storage_capacity,price,condition,status
228,IPhone 6S,128GB,285,B1,Unlocked
229,IPhone 6S,128GB,280,B2,Unlocked
230,IPhone 6S,128GB,275,C,Unlocked
231,IPhone 6S,128GB,270,C/B,Unlocked
232,IPhone 6S,128GB,265,C/D,Unlocked
233,IPhone 6 PLUS,16GB,160,New,Unlocked
234,IPhone 6 PLUS,16GB,155,A1,Unlocked
235,IPhone 6 PLUS,16GB,150,A2,Unlocked
236,IPhone 6 PLUS,16GB,145,B1,Unlocked
237,IPhone 6 PLUS,16GB,140,B2,Unlocked
238,IPhone 6 PLUS,16GB,135,C,Unlocked
239,IPhone 6 PLUS,16GB,130,C/B,Unlocked
240,IPhone 6 PLUS,16GB,125,C/D,Unlocked
241,IPhone 6 PLUS,64GB,180,New,Unlocked
242,IPhone 6 PLUS,64GB,175,A1,Unlocked
243,IPhone 6 PLUS,64GB,170,A2,Unlocked
244,IPhone 6 PLUS,64GB,165,B1,Unlocked
245,IPhone 6 PLUS,64GB,160,B2,Unlocked
246,IPhone 6 PLUS,64GB,155,C,Unlocked
247,IPhone 6 PLUS,64GB,150,C/B,Unlocked
248,IPhone 6 PLUS,64GB,145,C/D,Unlocked
249,IPhone 6 PLUS,128GB,200,New,Unlocked
250,IPhone 6 PLUS,128GB,195,A1,Unlocked
251,IPhone 6 PLUS,128GB,190,A2,Unlocked
252,IPhone 6 PLUS,128GB,185,B1,Unlocked
253,IPhone 6 PLUS,128GB,180,B2,Unlocked
254,IPhone 6 PLUS,128GB,175,C,Unlocked
255,IPhone 6 PLUS,128GB,170,C/B,Unlocked
256,IPhone 6 PLUS,128GB,165,C/D,Unlocked
257,IPhone 6 ,16GB,160,New,Unlocked
258,IPhone 6,16GB,155,A1,Unlocked
259,IPhone 6,16GB,150,A2,Unlocked
260,IPhone 6,16GB,145,B1,Unlocked
261,IPhone 6,16GB,140,B2,Unlocked
262,IPhone 6,16GB,135,C,Unlocked
263,IPhone 6,16GB,130,C/B,Unlocked
264,IPhone 6,16GB,125,C/D,Unlocked
265,IPhone 6,64GB,180,New,Unlocked
266,IPhone 6,64GB,175,A1,Unlocked
267,IPhone 6,64GB,170,A2,Unlocked
268,IPhone 6,64GB,165,B1,Unlocked
269,IPhone 6,64GB,160,B2,Unlocked
270,IPhone 6,64GB,155,C,Unlocked
271,IPhone 6,64GB,150,C/B,Unlocked
272,IPhone 6,64GB,145,C/D,Unlocked
273,IPhone 6,128GB,200,New,Unlocked
274,IPhone 6,128GB,195,A1,Unlocked
275,IPhone 6,128GB,190,A2,Unlocked
276,IPhone 6,128GB,185,B1,Unlocked
277,IPhone 6,128GB,180,B2,Unlocked
278,IPhone 6,128GB,175,C,Unlocked
279,IPhone 6,128GB,170,C/B,Unlocked
280,IPhone 6,128GB,165,C/D,Unlocked
281,IPhone SE,16GB,110,New,Unlocked
282,IPhone SE,16GB,105,A1,Unlocked
283,IPhone SE,16GB,100,A2,Unlocked
284,IPhone SE,16GB,95,B1,Unlocked
285,IPhone SE,16GB,90,B2,Unlocked
286,IPhone SE,16GB,85,C,Unlocked
287,IPhone SE,16GB,80,C/B,Unlocked
288,IPhone SE,16GB,75,C/D,Unlocked
289,IPhone SE,64GB,130,New,Unlocked
290,IPhone SE,64GB,125,A1,Unlocked
291,IPhone SE,64GB,120,A2,Unlocked
292,IPhone SE,64GB,115,B1,Unlocked
293,IPhone SE,64GB,110,B2,Unlocked
294,IPhone SE,64GB,105,C,Unlocked
295,IPhone SE,64GB,100,C/B,Unlocked
296,IPhone SE,64GB,95,C/D,Unlocked
297,IPhone SE,128GB,150,New,Unlocked
298,IPhone SE,128GB,145,A1,Unlocked
299,IPhone SE,128GB,140,A2,Unlocked
300,IPhone SE,128GB,135,B1,Unlocked
301,IPhone SE,128GB,130,B2,Unlocked
302,IPhone SE,128GB,125,C,Unlocked
303,IPhone SE,128GB,120,C/B,Unlocked
304,IPhone SE,128GB,115,C/D,Unlocked
